ID,NO_BORNE,COTE_RUE,ID_VOIE_PUBLIQUE,NOM_TOPOGRAPHIQUE,LONGITUDE,LATITUDE
100909,2108,S,105205,Rue Saint-Jean,-71.21678650433701,46.811372499903946
100910,2109,S,105205,Rue Saint-Jean,-71.2166647506772,46.8114241280185
100921,1007,N,105208,Rue Saint-Jean,-71.21362944539916,46.81272096086725
100922,1009,N,105208,Rue Saint-Jean,-71.21347222641711,46.812740869462395
100923,1008,N,105208,Rue Saint-Jean,-71.21349197650453,46.812740071614414
100924,1010,N,105208,Rue Saint-Jean,-71.21333911188007,46.812757307939556
100925,1011,S,105209,Rue Saint-Jean,-71.21257467308028,46.812852699537004
100926,1012,S,105209,Rue Saint-Jean,-71.21255211821442,46.812864373346066
100927,1013,S,105209,Rue Saint-Jean,-71.21246878171588,46.81291034196524
100928,1014,S,105209,Rue Saint-Jean,-71.21244913015374,46.81291860603726
100929,1015,S,105209,Rue Saint-Jean,-71.21234900885172,46.812964688045106
100930,1016,S,105210,Rue Saint-Jean,-71.21214330467836,46.81306603511999
100931,1017,S,105210,Rue Saint-Jean,-71.21207591173011,46.813102817881756
100932,1018,S,105210,Rue Saint-Jean,-71.21205798910138,46.8131120247483
100933,1019,S,105210,Rue Saint-Jean,-71.21193643912447,46.81317376749586
100934,1020,S,105210,Rue Saint-Jean,-71.21189114254722,46.81319690010478
100935,1021,S,105210,Rue Saint-Jean,-71.21187268662698,46.813207405740975
100936,1022,S,105211,Rue Saint-Jean,-71.21166438172996,46.813313392275646
100937,1023,S,105211,Rue Saint-Jean,-71.2116476953637,46.81332096304185
100938,1024,S,105211,Rue Saint-Jean,-71.21153681345552,46.81337592771466
100939,1025,S,105211,Rue Saint-Jean,-71.21147406110552,46.81341091797513
100940,1026,S,105211,Rue Saint-Jean,-71.21145839731949,46.813420515543704
100942,1027,S,105212,Rue Saint-Jean,-71.21118487416807,46.81355848395287
100943,1028,S,105212,Rue Saint-Jean,-71.21107151115172,46.81361517290495
